更新时间,#genre#
20260514 06:07:11,url


freetv,#genre#
CCTV10,https://t.freetv.fun/live/cctv10-ke-jiao-1.m3u8$[BD]cctv10-科教
CCTV10,https://t.freetv.fun/live/cctv10-ke-jiao.m3u8$[BD]cctv10-科教
CCTV12,https://t.freetv.fun/live/cctv-12gao-qing.php$[BD]cctv-12高清
CCTV12,https://t.freetv.fun/live/cctv12-she-hui-yu-fa.m3u8$[BD]cctv12-社会与法
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen.php$[BD]cctv-13新闻
CCTV14,https://t.freetv.fun/live/cctv14-shao-er-1.m3u8$[BD]cctv14-少儿
CCTV14,https://t.freetv.fun/live/cctv14-shao-er.m3u8$[BD]cctv14-少儿
CCTV15,https://t.freetv.fun/live/cctv-15yin-le.php$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv15-yin-le.m3u8$[BD]cctv15-音乐
CCTV17,https://t.freetv.fun/live/cctv-17gao-qing.php$[BD]cctv-17高清
CCTV4,https://t.freetv.fun/live/cctv-4gao-qing.php$[BD]cctv-4高清
CCTV4,https://t.freetv.fun/live/cctv4-guo-ji-1.m3u8$[BD]cctv4-国际
CCTV4,https://t.freetv.fun/live/cctv4-guo-ji.m3u8$[BD]cctv4-国际
CCTV5,https://t.freetv.fun/live/cctv-5gao-qing.php$[BD]cctv-5高清
CCTV6,https://t.freetv.fun/live/cctv-6gao-qing.php$[BD]cctv-6高清
CCTV7,https://t.freetv.fun/live/cctv-7gao-qing.php$[BD]cctv-7高清
CCTV7,https://t.freetv.fun/live/cctv7-jun-nong-1.m3u8$[BD]cctv7-军农
CCTV8,https://t.freetv.fun/live/cctv8-dian-shi-ju.m3u8$[BD]cctv8-电视剧
CCTV9,https://t.freetv.fun/live/cctv-9gao-qing.php$[BD]cctv-9高清
CCTV9,https://t.freetv.fun/live/cctv9-ji-lu-1.m3u8$[BD]cctv9-纪录
CCTV9,https://t.freetv.fun/live/cctv9-ji-lu.m3u8$[BD]cctv9-纪录
CETV-4,https://t.freetv.fun/live/cetv-4.php$[HD]cetv-4
cgtn,https://t.freetv.fun/live/cgtn.m3u8$[BD]cgtn
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi.m3u8$[BD]东南卫视
东方卫视高清,https://t.freetv.fun/live/dong-fang-wei-shi-gao-qing.php$[BD]东方卫视高清
东森超视,rtmp://f13h.mine.nu/sat/tv331$[HD]东森超视
中视,rtmp://f13h.mine.nu/sat/tv091$[HD]中视
云南卫视,https://t.freetv.fun/live/yun-nan-wei-shi-gao-qing.php$[BD]云南卫视高清
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-gao-qing.php$[BD]北京卫视高清
天津卫视高清,https://t.freetv.fun/live/tian-jin-wei-shi-gao-qing.php$[BD]天津卫视高清
安徽卫视,https://t.freetv.fun/live/an-hui-wei-shi-gao-qing.php$[BD]安徽卫视高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-1.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-2.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-3.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-4.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-5.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu.m3u8$[BD]广东体育
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-1.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-2.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-3.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-4.php$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing.m3u8$[BD]广东卫视高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-1.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-2.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-3.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-4.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-5.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-6.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er.m3u8$[BD]广东少儿
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-1.m3u8$[BD]广东影视高清
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-2.m3u8$[BD]广东影视高清
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-3.m3u8$[BD]广东影视高清
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing.m3u8$[BD]广东影视高清
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-1.m3u8$[BD]广东新闻高清
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-2.m3u8$[BD]广东新闻高清
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-3.m3u8$[BD]广东新闻高清
